티커종목코드,평균_변동성_10_90,가격_변동성_평가
AA          ,36531.5711784375,Moderate Volatility
AAL         ,9826.65818390625,Moderate Volatility
AAN         ,23129.19609375,Moderate Volatility
AAOI        ,12932.812347343752,Moderate Volatility
AAPB        ,14674.3396603125,Moderate Volatility
AAPL        ,114896.6119590625,Moderate Volatility
AAPU        ,18435.49639671875,Moderate Volatility
ABBV        ,110187.78458078126,Moderate Volatility
ABCL        ,19918.22758765625,Moderate Volatility
ABNB        ,58920.38364875,Moderate Volatility
ABR         ,3907.0096210937495,Moderate Volatility
ABSI        ,7343.815366250001,Moderate Volatility
ABT         ,25603.951453125,Moderate Volatility
ABUS        ,2465.7592115625002,Moderate Volatility
ACCO        ,3415.666330000001,Moderate Volatility
ACDC        ,248783.861924375,High Volatility
ACHR        ,4084.6077496875,Moderate Volatility
ACHV        ,4618.42214171875,Moderate Volatility
ACIU        ,14634.413395156249,Moderate Volatility
ACLS        ,49357.31300484375,Moderate Volatility
ACMR        ,16334.319995,Moderate Volatility
ACN         ,127309.2862528125,Moderate Volatility
ACRE        ,7348.831997031249,Moderate Volatility
ACRS        ,19352.220419062498,Moderate Volatility
ADBE        ,215245.329926875,High Volatility
ADC         ,13584.701173124995,Moderate Volatility
ADI         ,177929.0214328125,High Volatility
ADM         ,39513.2140625,Moderate Volatility
ADMA        ,13349.907531249999,Moderate Volatility
ADP         ,110503.25973437501,Moderate Volatility
ADPT        ,42961.1407009375,Moderate Volatility
ADSK        ,61346.8046875,Moderate Volatility
ADT         ,2511.4647923437497,Moderate Volatility
ADVM        ,26790.67131171875,Moderate Volatility
AEHR        ,14729.860007187499,Moderate Volatility
AEM         ,38657.73679703125,Moderate Volatility
AEP         ,21981.787546875,Moderate Volatility
AES         ,5789.80164859375,Moderate Volatility
AEVA        ,94496.19531953125,Moderate Volatility
AFCG        ,7201.7394325,Moderate Volatility
AFL         ,79644.65121875,Moderate Volatility
AFRM        ,116078.288221875,Moderate Volatility
AG          ,10038.005327812501,Moderate Volatility
AGNC        ,6704.85678484375,Moderate Volatility
AI          ,109566.967255,Moderate Volatility
AIG         ,70346.975345,Moderate Volatility
AIQ         ,5504.174345781251,Moderate Volatility
AISP        ,8235.78453125,Moderate Volatility
AIV         ,2579.9640624999997,Moderate Volatility
AIYY        ,8209.64830765625,Moderate Volatility
AKAM        ,25844.71053984374,Moderate Volatility
AKBA        ,3256.0226978124997,Moderate Volatility
AKRO        ,16828.339562499998,Moderate Volatility
ALAB        ,24864.886567031248,Moderate Volatility
ALB         ,136777.19332890626,Moderate Volatility
ALC         ,39674.06731968749,Moderate Volatility
ALDX        ,6835.20189,Moderate Volatility
ALEC        ,18895.84063625,Moderate Volatility
ALGM        ,8773.5786646875,Moderate Volatility
ALGN        ,378271.827363125,High Volatility
ALIT        ,2493.8946935937497,Moderate Volatility
ALK         ,25642.26940828125,Moderate Volatility
ALL         ,96993.19934375,Moderate Volatility
ALLY        ,19552.110426875002,Moderate Volatility
ALNY        ,158082.8245625,Moderate Volatility
ALT         ,6060.3052578125,Moderate Volatility
ALTM        ,3416.3205868750006,Moderate Volatility
AM          ,8613.3440296875,Moderate Volatility
AMAT        ,186143.80731375,High Volatility
AMBA        ,40180.49872375,Moderate Volatility
AMC         ,365301.7307234375,High Volatility
AMCR        ,2171.014241093749,Moderate Volatility
AMCX        ,10744.48058890625,Moderate Volatility
AMD         ,141194.63697078126,Moderate Volatility
AMDL        ,6358.253300312501,Moderate Volatility
AMDY        ,6506.94720796875,Moderate Volatility
AMGN        ,182087.6580215625,High Volatility
AMKR        ,26668.185448125,Moderate Volatility
AMLX        ,2585.25015625,Moderate Volatility
AMPL        ,67583.62384390624,Moderate Volatility
AMPY        ,7482.9353125,Moderate Volatility
AMR         ,250426.40726375,High Volatility
AMRC        ,51727.9609375,Moderate Volatility
AMSC        ,18531.12368515625,Moderate Volatility
AMSWA       ,7538.671875,Moderate Volatility
AMT         ,72646.89257046876,Moderate Volatility
AMTX        ,20581.8081215625,Moderate Volatility
AMZN        ,111275.27409640625,Moderate Volatility
AMZU        ,22166.01425296875,Moderate Volatility
AMZY        ,4455.2699009375,Moderate Volatility
ANET        ,150965.4267890625,Moderate Volatility
ANF         ,175443.55541375,High Volatility
ANSS        ,93789.88571249999,Moderate Volatility
AOR         ,13558.4642059375,Moderate Volatility
APA         ,7172.65418390625,Moderate Volatility
APD         ,76055.16867531251,Moderate Volatility
APH         ,57393.318953125,Moderate Volatility
APLD        ,7107.773937500001,Moderate Volatility
APLE        ,10216.364953125001,Moderate Volatility
APLS        ,28610.2458125,Moderate Volatility
APLY        ,3756.473215468751,Moderate Volatility
APP         ,63368.03578125,Moderate Volatility
APPS        ,72724.82593171875,Moderate Volatility
APTV        ,75211.1427315625,Moderate Volatility
AQN         ,10089.928298125,Moderate Volatility
AQST        ,2470.8858171875,Moderate Volatility
AR          ,39565.385569687496,Moderate Volatility
ARAY        ,3470.9395682812496,Moderate Volatility
ARDX        ,8935.0619928125,Moderate Volatility
ARE         ,95420.30347468749,Moderate Volatility
ARI         ,4725.488661562499,Moderate Volatility
ARKF        ,23082.10837171875,Moderate Volatility
ARKG        ,83145.5148859375,Moderate Volatility
ARKK        ,78906.99340140625,Moderate Volatility
ARKQ        ,34104.09530203125,Moderate Volatility
ARKW        ,81924.79745703125,Moderate Volatility
ARKX        ,2866.042793906251,Moderate Volatility
ARQT        ,9536.101047031249,Moderate Volatility
ARR         ,38025.40846953125,Moderate Volatility
ARRY        ,30735.3607390625,Moderate Volatility
ARVN        ,65208.22568703125,Moderate Volatility
ARWR        ,32028.93941109375,Moderate Volatility
ASAN        ,73236.74840921875,Moderate Volatility
ASM         ,1930.11574953125,Moderate Volatility
ASO         ,57550.190743125,Moderate Volatility
ASTS        ,18925.9737271875,Moderate Volatility
ATI         ,48590.630140625,Moderate Volatility
ATOS        ,4976.52303390625,Moderate Volatility
ATUS        ,17537.66982015625,Moderate Volatility
ATXS        ,33084.09042,Moderate Volatility
AUPH        ,14204.40844203125,Moderate Volatility
AUR         ,10614.3134140625,Moderate Volatility
AVAV        ,147681.848734375,Moderate Volatility
AVB         ,72839.55289062501,Moderate Volatility
AVGO        ,715923.4017529688,High Volatility
AVIR        ,34909.981867031245,Moderate Volatility
AVPT        ,5530.3521125,Moderate Volatility
AVXL        ,14872.47710140625,Moderate Volatility
AVY         ,97855.576796875,Moderate Volatility
AWAY        ,8772.573292968753,Moderate Volatility
AWK         ,42040.097859375,Moderate Volatility
AWR         ,28975.676062500002,Moderate Volatility
AXON        ,302871.016640625,High Volatility
AXP         ,192216.293859375,High Volatility
BA          ,69285.2538471875,Moderate Volatility
BAC         ,17577.80231546875,Moderate Volatility
BAH         ,35770.44400171875,Moderate Volatility
BAM         ,14167.7421875,Moderate Volatility
BANC        ,3882.1927049999995,Moderate Volatility
BARK        ,14411.930804375,Moderate Volatility
BB          ,9881.520859375001,Moderate Volatility
BBAI        ,2958.2397596875,Moderate Volatility
BBIO        ,30083.125,Moderate Volatility
BBW         ,16115.0546875,Moderate Volatility
BBWI        ,34589.36746734375,Moderate Volatility
BBY         ,21848.897066250003,Moderate Volatility
BCE         ,12675.709058281249,Moderate Volatility
BCRX        ,9835.3703125,Moderate Volatility
BDN         ,9088.174780000001,Moderate Volatility
BDTX        ,12027.608518593748,Moderate Volatility
BDX         ,60355.832578125,Moderate Volatility
BE          ,20037.75954109375,Moderate Volatility
BEAM        ,77856.689598125,Moderate Volatility
BEN         ,6193.8341448437495,Moderate Volatility
BEPC        ,15095.749999999998,Moderate Volatility
BF.B        ,24953.36584828125,Moderate Volatility
BFLY        ,20181.462519218752,Moderate Volatility
BG          ,55535.152758125,Moderate Volatility
BGS         ,22589.69064734375,Moderate Volatility
BHC         ,3708.6533756250005,Moderate Volatility
BHR         ,2570.0989609375,Moderate Volatility
BIGC        ,76793.03286968751,Moderate Volatility
BIIB        ,143672.88772734374,Moderate Volatility
BK          ,19497.798629999998,Moderate Volatility
BKE         ,14230.625250000001,Moderate Volatility
BKH         ,24504.732812499995,Moderate Volatility
BKNG        ,2795876.614080156,High Volatility
BKR         ,22922.817328125002,Moderate Volatility
BKSY        ,15058.03738453125,Moderate Volatility
BL          ,13834.577250156253,Moderate Volatility
BLDE        ,10866.349569375,Moderate Volatility
BLDP        ,32592.202237656253,Moderate Volatility
BLDR        ,151452.56090125,Moderate Volatility
BLK         ,305336.374859375,High Volatility
BLNK        ,47734.37997,Moderate Volatility
BLUE        ,26729.4296575,Moderate Volatility
BMBL        ,54922.38318671875,Moderate Volatility
BMO         ,19786.683421875,Moderate Volatility
BMY         ,20941.8656546875,Moderate Volatility
BN          ,13572.41277734375,Moderate Volatility
BNS         ,15151.435171875,Moderate Volatility
BORR        ,7206.312961250001,Moderate Volatility
BOTZ        ,9827.889055624999,Moderate Volatility
BRK.B       ,284913.27511953126,High Volatility
BROS        ,38357.024069375,Moderate Volatility
BRY         ,2445.1156565624997,Moderate Volatility
BRZE        ,53438.841630312505,Moderate Volatility
BSX         ,64833.577390625,Moderate Volatility
BTBT        ,18465.1057853125,Moderate Volatility
BTE         ,1128.4183193750002,Moderate Volatility
BTG         ,1768.1778481249996,Moderate Volatility
BTU         ,24741.436215625003,Moderate Volatility
BWA         ,13773.4953125,Moderate Volatility
BWXT        ,63921.14114875,Moderate Volatility
BX          ,83335.08095468751,Moderate Volatility
BXMT        ,9836.5947659375,Moderate Volatility
BXP         ,63850.536250000005,Moderate Volatility
BYD         ,14299.7046875,Moderate Volatility
BYND        ,145469.13929078126,Moderate Volatility
C           ,28134.045326875,Moderate Volatility
CADL        ,7272.520512343751,Moderate Volatility
CAG         ,3567.3994559374964,Moderate Volatility
CAH         ,89385.31667,Moderate Volatility
CAKE        ,35371.5,Moderate Volatility
CARR        ,45909.525577500004,Moderate Volatility
CAT         ,258073.92219234374,High Volatility
CATX        ,10412.656349206349,Moderate Volatility
CAVA        ,21765.869722343752,Moderate Volatility
CB          ,16776.530074999995,Moderate Volatility
CBUS        ,631924.2105085938,High Volatility
CCCC        ,8162.74633765625,Moderate Volatility
CCI         ,80331.76171796875,Moderate Volatility
CCJ         ,19561.866117499998,Moderate Volatility
CCL         ,12393.52318453125,Moderate Volatility
CCOI        ,18935.063734375,Moderate Volatility
CDE         ,5240.47600234375,Moderate Volatility
CDNS        ,256089.167510625,High Volatility
CDXC        ,21522.004275625,Moderate Volatility
CEG         ,57223.18975,Moderate Volatility
CELH        ,56604.2580765625,Moderate Volatility
CERT        ,20287.60859375,Moderate Volatility
CF          ,57430.96666609375,Moderate Volatility
CFG         ,16859.78909875,Moderate Volatility
CFLT        ,47265.5491559375,Moderate Volatility
CGNX        ,36170.27765234375,Moderate Volatility
CHGG        ,85247.92705609374,Moderate Volatility
CHPT        ,31052.04647734375,Moderate Volatility
CHRD        ,120471.2421875,Moderate Volatility
CHRS        ,4033.39621375,Moderate Volatility
CHTR        ,120708.0703125,Moderate Volatility
CHWY        ,76904.63649015625,Moderate Volatility
CI          ,223518.30564062498,High Volatility
CIBR        ,22478.728996875,Moderate Volatility
CIFR        ,6504.52852234375,Moderate Volatility
CIM         ,33578.330420625,Moderate Volatility
CINF        ,72957.52240843751,Moderate Volatility
CIVI        ,212606.44,High Volatility
CL          ,43230.628390624996,Moderate Volatility
CLF         ,8294.881229218749,Moderate Volatility
CLNE        ,12614.35179484375,Moderate Volatility
CLOU        ,9995.86323375,Moderate Volatility
CLOV        ,17475.792560625,Moderate Volatility
CLS         ,34903.044147656256,Moderate Volatility
CLSK        ,18560.742445,Moderate Volatility
CLVT        ,21415.585080625,Moderate Volatility
CLW         ,17822.77877359375,Moderate Volatility
CLX         ,41761.328125,Moderate Volatility
CMA         ,23218.0495,Moderate Volatility
CMCSA       ,12940.813876875001,Moderate Volatility
CME         ,58836.41640937499,Moderate Volatility
CMG         ,819905.5484520313,High Volatility
CMPO        ,4110.45413921875,Moderate Volatility
CNI         ,55263.02307812501,Moderate Volatility
CNK         ,7773.445437499999,Moderate Volatility
CNQ         ,34607.00775921875,Moderate Volatility
COF         ,53529.6665525,Moderate Volatility
COHR        ,49735.4951946875,Moderate Volatility
COIN        ,225706.22081859375,High Volatility
COKE        ,1142462.40259375,High Volatility
COLD        ,9797.0,Moderate Volatility
COMM        ,13757.79536671875,Moderate Volatility
COMP        ,12342.09989828125,Moderate Volatility
CONL        ,35445.55627546875,Moderate Volatility
CONY        ,6572.2772842187505,Moderate Volatility
COP         ,30557.773147656255,Moderate Volatility
COPX        ,25373.6751828125,Moderate Volatility
CORZ        ,11646.05709875,Moderate Volatility
COST        ,739756.5891301562,High Volatility
COTY        ,6844.75968703125,Moderate Volatility
COUR        ,37117.3075146875,Moderate Volatility
CP          ,21609.6397359375,Moderate Volatility
CPB         ,14804.06790125,Moderate Volatility
CPNG        ,35111.9643359375,Moderate Volatility
CPRI        ,47485.8984375,Moderate Volatility
CPRX        ,17883.27985015625,Moderate Volatility
CRBP        ,112313.77269640626,Moderate Volatility
CRBU        ,24947.87722171875,Moderate Volatility
CRCT        ,21009.691945468752,Moderate Volatility
CRDF        ,9273.017240000001,Moderate Volatility
CRGY        ,8617.94964203125,Moderate Volatility
CRK         ,14133.027531249998,Moderate Volatility
CRM         ,126620.03144109374,Moderate Volatility
CRNC        ,117758.3425375,Moderate Volatility
CRON        ,10233.27262328125,Moderate Volatility
CROX        ,98934.88678953126,Moderate Volatility
CRSP        ,120542.652926875,Moderate Volatility
CRSR        ,20635.257490468754,Moderate Volatility
CRVO        ,135414.8036478125,Moderate Volatility
CRWD        ,283465.4665696875,High Volatility
CSCO        ,18315.203578124998,Moderate Volatility
CSIQ        ,34085.116924218746,Moderate Volatility
CSX         ,10803.111888749998,Moderate Volatility
CTAS        ,360258.8771471875,High Volatility
CTLT        ,60932.4453125,Moderate Volatility
CTO         ,3085.9014460937515,Moderate Volatility
CTRA        ,16952.81470015625,Moderate Volatility
CTVA        ,25510.74167875,Moderate Volatility
CVAC        ,120762.15883,Moderate Volatility
CVE         ,13011.2423540625,Moderate Volatility
CVNA        ,193896.59084796874,High Volatility
CVS         ,26483.8820465625,Moderate Volatility
CVX         ,99872.07842171875,Moderate Volatility
CWCO        ,23456.442765625,Moderate Volatility
CWEB        ,162944.29247734376,Moderate Volatility
CWH         ,16625.1197246875,Moderate Volatility
CXM         ,10455.93888015625,Moderate Volatility
CXW         ,10702.496874999999,Moderate Volatility
CZR         ,57500.9817878125,Moderate Volatility
D           ,26096.551439843748,Moderate Volatility
DAL         ,21590.82247625,Moderate Volatility
DASH        ,100474.68436984376,Moderate Volatility
DB          ,2096.0,Moderate Volatility
DBX         ,10922.801400781249,Moderate Volatility
DCGO        ,2992.8025246875,Moderate Volatility
DD          ,37083.4817871875,Moderate Volatility
DDD         ,46643.225401875,Moderate Volatility
DDOG        ,89988.631840625,Moderate Volatility
DE          ,121741.6862940625,Moderate Volatility
DECK        ,633844.4807185938,High Volatility
DEI         ,2411.9072912499983,Moderate Volatility
DELL        ,66227.95863921875,Moderate Volatility
DFEN        ,19220.50684375,Moderate Volatility
DG          ,89510.81452140627,Moderate Volatility
DGRO        ,26027.865649062504,Moderate Volatility
DGRW        ,45275.98387375,Moderate Volatility
DHI         ,120660.98025749999,Moderate Volatility
DHR         ,118896.6624971875,Moderate Volatility
DHT         ,7896.0449023437495,Moderate Volatility
DIA         ,177390.57154203125,High Volatility
DIS         ,74630.58469234375,Moderate Volatility
DISO        ,3900.1119789062514,Moderate Volatility
DIV         ,2176.4290653125,Moderate Volatility
DIVO        ,8066.128953125,Moderate Volatility
DKNG        ,30594.7848459375,Moderate Volatility
DKS         ,157295.709671875,Moderate Volatility
DLB         ,26824.117524999994,Moderate Volatility
DLO         ,50824.203061875,Moderate Volatility
DLR         ,53401.104056874996,Moderate Volatility
DNA         ,53738.065406507936,Moderate Volatility
DNLI        ,58384.42166859376,Moderate Volatility
DNN         ,1238.03740625,Moderate Volatility
DNUT        ,6776.04253640625,Moderate Volatility
DO          ,5336.40453921875,Moderate Volatility
DOCN        ,78464.72175796874,Moderate Volatility
DOCS        ,50982.13030953125,Moderate Volatility
DOCU        ,217291.9953878125,High Volatility
DOLE        ,5428.38153125,Moderate Volatility
DOV         ,87474.85254874999,Moderate Volatility
DOW         ,17367.5602390625,Moderate Volatility
DPST        ,214910.537055625,High Volatility
DPZ         ,240775.79821875,High Volatility
DRI         ,56848.1637384375,Moderate Volatility
DRIV        ,8169.750215624999,Moderate Volatility
DT          ,8198.557638750004,Moderate Volatility
DTC         ,15754.4759009375,Moderate Volatility
DUK         ,21315.540203125,Moderate Volatility
DUOL        ,140918.7196175,Moderate Volatility
DVAX        ,10882.463796875001,Moderate Volatility
DVN         ,30277.76875,Moderate Volatility
DX          ,5026.02346609375,Moderate Volatility
DXCM        ,76146.12314234376,Moderate Volatility
EA          ,39584.484375,Moderate Volatility
EBAY        ,30582.400953124998,Moderate Volatility
EBS         ,64296.83197171875,Moderate Volatility
ECL         ,119425.221390625,Moderate Volatility
ED          ,43560.63303734376,Moderate Volatility
EDIT        ,63379.8840928125,Moderate Volatility
EETH        ,23711.591848906253,Moderate Volatility
EFC         ,4747.215673125,Moderate Volatility
EGY         ,7596.181621875,Moderate Volatility
EIX         ,33233.335908125,Moderate Volatility
EL          ,201427.75406890624,High Volatility
ELF         ,82936.95087015624,Moderate Volatility
EMR         ,68762.57638281249,Moderate Volatility
ENB         ,8320.34828671875,Moderate Volatility
ENPH        ,97852.70089578125,Moderate Volatility
ENTG        ,70494.89350218751,Moderate Volatility
ENVX        ,13848.84953203125,Moderate Volatility
EOG         ,53539.82228125,Moderate Volatility
EOLS        ,15564.144093750001,Moderate Volatility
EPAM        ,499630.99855859374,High Volatility
EPM         ,3299.8672656250005,Moderate Volatility
EPR         ,26074.38827109375,Moderate Volatility
EPRT        ,4403.7070284375,Moderate Volatility
EQIX        ,328641.476796875,High Volatility
EQR         ,39235.360600625,Moderate Volatility
EQT         ,11681.319456874999,Moderate Volatility
ESPR        ,1171.1405796875,Moderate Volatility
ESS         ,135279.2746403125,Moderate Volatility
ESTC        ,64594.3928859375,Moderate Volatility
ETN         ,84758.8502346875,Moderate Volatility
ETSY        ,134346.53140421875,Moderate Volatility
EVC         ,2066.6967534375,Moderate Volatility
EVEX        ,3026.37625,Moderate Volatility
EVGO        ,15897.045577031251,Moderate Volatility
EW          ,38528.11089390625,Moderate Volatility
EWY         ,24597.643045937493,Moderate Volatility
EXAS        ,66998.1183221875,Moderate Volatility
EXC         ,4196.2292853125,Moderate Volatility
EXPE        ,115380.7734375,Moderate Volatility
EXPI        ,59719.48581125,Moderate Volatility
EXR         ,75630.31527796874,Moderate Volatility
F           ,10217.12328296875,Moderate Volatility
FANG        ,220871.59904687502,High Volatility
FAS         ,88799.82779046876,Moderate Volatility
FAST        ,35782.774095625,Moderate Volatility
FATE        ,94771.00792296874,Moderate Volatility
FBL         ,10140.735248125,Moderate Volatility
FBY         ,4705.95476140625,Moderate Volatility
FCEL        ,7538.35391515625,Moderate Volatility
FCX         ,40448.56018796875,Moderate Volatility
FDP         ,8137.794749999997,Moderate Volatility
FDX         ,111603.54942765625,Moderate Volatility
